Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
86,0.507,-31.7206,0.487,-31.7201,0.452,-31.7202,1583.46,4.22,1015.22,261.09,1000.00,2000.00,1000.00,9.27,28.66,171.73,0.68,0.33,0.66,0.05,0.87,-0.49,0.74,-0.37,-0.57,-0.6594492
87,0.388,-31.7315,0.006,-31.7317,0.487,-31.7314,1581.73,4.38,1015.71,263.95,1000.00,2000.00,1000.00,9.45,29.08,171.45,0.67,0.33,0.66,0.05,0.87,-0.49,0.74,-0.37,-0.57,-0.5942809
88,0.509,-31.7431,0.479,-31.7435,0.475,-31.7433,1580.00,4.54,1016.20,266.80,1000.00,2000.00,1000.00,9.62,29.50,171.16,0.67,0.34,0.66,0.06,0.87,-0.50,0.74,-0.37,-0.56,-0.6182367
89,0.509,-31.7544,0.363,-31.7550,0.476,-31.7549,1578.26,4.70,1016.70,269.65,1000.00,2000.00,1000.00,9.80,29.91,170.88,0.67,0.34,0.66,0.06,0.86,-0.50,0.74,-0.37,-0.56,-0.6081334
90,0.515,-31.7657,0.400,-31.7660,0.469,-31.7659,1576.53,4.87,1017.20,272.49,1000.00,2000.00,1000.00,9.97,30.32,170.60,0.67,0.34,0.66,0.06,0.86,-0.50,0.74,-0.38,-0.56,-0.5839174
91,0.485,-31.7769,0.362,-31.7766,0.464,-31.7764,1574.80,5.04,1017.71,275.33,1000.00,2000.00,1000.00,10.15,30.74,170.31,0.67,0.34,0.66,0.06,0.86,-0.51,0.74,-0.38,-0.55,-0.5627580
92,0.507,-31.7896,0.501,-31.7898,0.459,-31.7897,1573.06,5.21,1018.23,278.16,1000.00,2000.00,1000.00,10.33,31.16,170.02,0.66,0.34,0.66,0.06,0.86,-0.51,0.74,-0.38,-0.55,-0.6722583
93,0.508,-31.8026,0.491,-31.8027,0.454,-31.8029,1571.33,5.39,1018.76,280.99,1000.00,2000.00,1000.00,10.51,31.56,169.74,0.66,0.35,0.66,0.06,0.86,-0.51,0.75,-0.38,-0.55,-0.6697311
94,0.508,-31.8137,0.485,-31.8139,0.450,-31.8138,1569.59,5.56,1019.29,283.82,1000.00,2000.00,1000.00,10.69,31.98,169.44,0.66,0.35,0.66,0.07,0.85,-0.52,0.75,-0.38,-0.54,-0.5780799
95,0.517,-31.8256,0.360,-31.8260,0.125,-31.8255,1567.85,5.74,1019.83,286.63,1000.00,2000.00,1000.00,10.86,32.38,169.16,0.66,0.35,0.66,0.07,0.85,-0.52,0.75,-0.39,-0.54,-0.6150376
